col_i,col_j,correlation,count,window_minutes
index_price,index_price,1.0,44,60
index_price,ce_vol,-0.4068,44,60
index_price,pe_vol,-0.3949,44,60
index_price,ce_oi,-0.0234,44,60
index_price,pe_oi,0.2788,44,60
index_price,ce_iv,0.1755,44,60
index_price,pe_iv,0.5513,44,60
index_price,tp,0.3832,44,60
ce_vol,ce_vol,1.0,44,60
ce_vol,pe_vol,0.9922,44,60
ce_vol,ce_oi,0.3899,44,60
ce_vol,pe_oi,-0.6574,44,60
ce_vol,ce_iv,-0.8740,44,60
ce_vol,pe_iv,-0.8696,44,60
ce_vol,tp,-0.9261,44,60
pe_vol,pe_vol,1.0,44,60
pe_vol,ce_oi,0.4889,44,60
pe_vol,pe_oi,-0.5872,44,60
pe_vol,ce_iv,-0.9131,44,60
pe_vol,pe_iv,-0.9030,44,60
pe_vol,tp,-0.9603,44,60
ce_oi,ce_oi,1.0,44,60
ce_oi,pe_oi,0.2219,44,60
ce_oi,ce_iv,-0.7147,44,60
ce_oi,pe_iv,-0.5767,44,60
ce_oi,tp,-0.6534,44,60
pe_oi,pe_oi,1.0,44,60
pe_oi,ce_iv,0.3925,44,60
pe_oi,pe_iv,0.3324,44,60
pe_oi,tp,0.4038,44,60
ce_iv,ce_iv,1.0,44,60
ce_iv,pe_iv,0.8155,44,60
ce_iv,tp,0.9513,44,60
pe_iv,pe_iv,1.0,44,60
pe_iv,tp,0.9377,44,60
tp,tp,1.0,44,60
