x1,x2,y
-0.989121,-0.937067,-3.695302
-0.367787,-0.809338,-2.238945
1.287925,-0.412132,2.280805
0.193974,0.841093,3.877060
0.920231,1.656680,7.787473
0.577104,1.722295,7.340267
-0.636464,0.806259,2.257717
0.541952,0.439694,3.272329
-0.316595,-2.336549,-6.550987
-0.322389,1.130120,3.725880
0.097167,2.628947,8.794562
-1.525930,0.452876,-0.733102
1.192166,0.234039,4.059162
-0.671090,0.698696,1.808729
1.000269,0.728629,5.245381
0.136321,0.134916,1.676755
1.532033,-0.373816,2.861174
-0.659969,0.361759,0.860616
-0.311795,-1.371789,-3.806670
0.337769,-1.882427,-4.090586
-2.207471,1.360939,0.603724
0.827921,-0.458061,1.227798
1.541630,0.715955,6.219716
1.126807,1.554594,7.872600
0.754770,1.220280,6.133943
-0.145978,-0.553393,-0.877972
1.281902,0.324754,4.617717
1.074031,-1.166087,-0.296914
0.392621,-0.104573,1.440578
0.005114,1.046017,4.081554
-0.361767,0.032026,0.349368
-1.230232,-2.851369,-10.029242
1.226229,-2.251263,-3.217187
-2.172044,-0.801586,-5.776866
-0.370147,1.333242,4.138958
0.164380,0.199085,1.842288
0.859881,0.141273,3.320000
1.761661,-1.315967,0.482155
0.993324,0.146432,3.299563
-0.291521,-2.275172,-6.437727
0.728128,0.341832,3.657858
-1.261600,1.179240,2.024165
1.429939,-0.817587,1.436380
-0.156475,1.084396,3.782581
-0.673759,-0.719895,-2.657087
-0.639060,0.147375,0.163767
-0.061361,-0.135936,0.423708
-0.392785,0.093868,0.534999
2.289910,1.526954,10.050434
-0.718181,0.881216,2.312591
0.032608,-0.677721,-0.832201
0.028050,-2.764962,-7.393477
0.028272,0.894803,3.765468
0.055346,0.763910,3.374498
-0.481563,0.165512,0.677670
-0.583408,-0.558191,-1.818804
-0.862161,1.598408,4.166228
-1.488175,-1.787212,-7.345612
0.216307,-0.784378,-0.889102
0.984376,-1.466345,-1.217000
-0.543084,0.371307,1.235389
-0.558615,-0.466543,-1.686501
-0.316483,2.111190,6.738730
-0.460640,0.017806,0.156269
-1.436270,-0.238807,-2.696339
1.365108,0.572700,5.371517
0.439000,-0.732197,-0.300097
-0.711695,-1.083909,-3.579518
0.297172,0.535006,3.251673
-0.438457,-0.489018,-1.385843
-0.211637,0.975975,3.398532
0.363964,0.334780,2.522938
0.952964,0.116421,3.409193
1.519524,0.068450,4.188725
1.703909,-0.086310,4.062945
-0.248859,0.407529,1.758631
-0.499749,-0.397226,-1.199765
0.099598,-1.957705,-4.675585
0.128343,0.077800,1.555804
-0.734222,-0.460597,-1.898857
-0.620475,-1.376921,-4.477481
0.813274,0.780685,4.954348
1.641801,-0.380246,3.149423
-0.226501,-1.745234,-4.797549
-0.647965,-0.074765,-0.630740
-0.283371,-0.674766,-1.695778
-0.995131,-1.701547,-6.013322
-0.272872,0.312187,1.529258
0.422444,-1.050559,-1.179441
-0.081343,0.718371,2.901114
1.234578,-0.897489,0.707317
0.150888,0.977046,4.105194
0.481120,0.425423,3.422174
-0.148758,0.108610,0.979892
1.315666,-0.755835,1.360071
-1.222346,0.904811,1.222147
-0.303591,0.503556,1.920233
-1.173689,-0.362399,-2.539437
0.826274,0.580637,4.332421
0.850322,-1.025582,-0.467313
-0.515768,-1.279766,-4.107348
1.658113,-0.095566,4.054974
-0.297263,0.071117,0.692626
-1.383377,0.427907,-0.386037
-0.281205,0.065047,0.788638
0.360021,1.240713,5.537155
-0.234392,-1.290504,-3.347521
2.265521,0.568326,7.290317
0.855387,0.225643,3.334590
1.731279,1.356211,8.610458
1.385885,0.124916,4.117788
-1.685785,0.316304,-1.655164
-0.377759,1.761284,5.525180
-2.728486,0.796291,-2.061978
-0.646397,0.608556,1.415364
1.115104,-0.390133,2.107226
-0.843211,0.138950,-0.150873
-0.636688,-1.652413,-5.346225
0.326134,-0.843725,-0.803312
0.787317,0.646993,4.602352
-0.356313,-1.779169,-5.145171
-0.255812,0.092892,0.722742
0.808982,0.017834,2.562146
0.254059,0.389099,2.617542
-0.285287,-1.696298,-4.664467
0.314503,-2.030861,-4.346954
0.076122,1.109562,4.417038
0.254633,0.110720,1.685958
2.001231,0.410162,5.918503
-0.305208,1.616632,5.172533
-0.539763,0.173838,0.310643
1.413631,-1.964149,-2.046627
-0.705701,-0.312088,-1.324725
1.719889,0.818374,6.736208
-0.194198,-0.425411,-0.628399
0.073840,-0.302872,0.217904
0.733628,-0.601557,0.637265
1.213110,1.467876,7.777788
0.996999,1.243302,6.819945
-0.203635,-1.809802,-4.777220
-0.366429,1.904287,5.998724
0.347473,-0.774082,-0.512210
0.134719,2.027639,7.355828
-0.642273,-1.313934,-4.212481
0.410728,1.101617,5.179837
0.994120,-0.566430,1.261908
0.166507,-0.155721,0.745649
1.564000,0.883374,6.954366
0.410302,-0.739656,-0.304063
-0.155813,0.315313,1.504368
0.100215,0.307464,2.024501
-0.560110,1.191266,3.347014
-1.031298,1.366657,2.885009
0.476529,1.879014,7.626308
-0.853250,0.303870,0.355323
-0.358292,0.408722,1.548295
-0.089200,-0.568594,-0.728264
0.385104,-0.766882,-0.572265
0.461162,-1.321170,-2.014891
0.054224,-0.226283,0.336936
-1.931308,0.156402,-2.391259
-0.206593,0.020217,0.754874
-0.775539,0.573322,1.240241
-0.111348,-1.356196,-3.189250
0.991326,1.732604,8.139693
0.804824,0.307109,3.622241
0.220330,1.093204,4.865293
0.505760,0.345248,3.103618
-1.488408,-0.876515,-4.745371
0.194867,-0.325865,0.440372
0.624511,-3.298281,-7.621395
-0.706127,0.213852,0.162093
0.404988,-0.069306,1.498978
-0.380826,1.213015,3.796156
1.000507,-1.755960,-2.151977
1.108419,-0.078585,2.994382
-0.534783,-0.305408,-0.818698
1.462923,-1.263187,-0.043415
-0.190080,-1.468160,-3.742390
2.061945,-1.175506,1.757387
-0.491554,0.983888,3.151694
0.063756,0.985295,4.029485
0.213189,-1.439946,-2.734325
-0.750796,-0.166732,-0.892392
-1.725380,0.473388,-0.912361
-0.799604,0.325660,0.399181
1.079606,-1.518477,-1.295204
-0.328667,-0.601674,-1.370842
-0.326707,-1.435736,-4.020859
1.516802,1.016411,6.812640
0.493538,2.595306,9.887198
0.702308,-0.049871,2.361664
0.849449,-2.145682,-3.662898
-0.907418,0.818563,1.601427
0.124726,1.556836,5.880370
0.150217,1.478672,5.580106
-0.158867,0.164640,1.339554
-1.093032,0.529815,0.396084
0.463780,0.094853,2.297754
-1.658463,0.720556,-0.188725
