path,rows,parsed_ts,parse_fail,out_of_order,duplicate_ts,negative_values,min_ts,max_ts,min_tp,max_tp,issue_count
data\g6_data\SENSEX\this_week\+100\2025-09-15.csv,327,327,0,0,0,0,1757909010000,1757930340000,565.25,632.25,0
data\g6_data\SENSEX\this_week\+100\2025-09-16.csv,377,377,0,0,1,0,1757994360000,1758016800000,496.7,581.8,0
data\g6_data\SENSEX\this_week\+100\2025-09-17.csv,242,242,0,0,0,0,1758088650000,1758103200000,350.9,406.9,0
data\g6_data\SENSEX\this_week\+100\2025-09-18.csv,724,724,0,0,395,0,1758169830000,1758189600000,56.95,806.05,0
data\g6_data\SENSEX\this_week\+100\2025-09-19.csv,266,266,0,0,132,0,1758256020000,1758275910000,644.95,730.55,0
data\g6_data\SENSEX\this_week\+100\2025-09-22.csv,568,568,0,0,284,0,1758517800000,1758535170000,556.55,698.0600000000001,0
data\g6_data\SENSEX\this_week\+100\2025-09-30.csv,465,465,0,0,8,0,1759209870000,1759226370000,431.75,566.61,0
data\g6_data\SENSEX\this_week\+100\2025-10-01.csv,630,630,0,0,2,0,1759292160000,1759312770000,37.800000000000004,447.21999999999997,0
data\g6_data\SENSEX\this_week\+100\2025-10-03.csv,638,638,0,0,4,0,1759463190000,1759485600000,612.0999999999999,761.87,0
data\g6_data\SENSEX\this_week\+100\2025-10-06.csv,227,227,0,0,2,0,1759737990000,1759744800000,522.3,596.0,0
data\g6_data\SENSEX\this_week\+100\2025-10-07.csv,545,545,0,0,12,0,1759811100000,1759830930000,432.65,550.5,0
data\g6_data\SENSEX\this_week\+100\2025-10-08.csv,731,731,0,0,0,0,1759895130000,1759917600000,322.95,456.57000000000005,0
data\g6_data\SENSEX\this_week\+100\2025-10-09.csv,297,297,0,0,0,0,1759995000000,1760004000000,28.2,285.7,0
data\g6_data\SENSEX\this_week\+100\2025-10-10.csv,746,746,0,0,0,0,1760067960000,1760090400000,676.65,759.25,0
data\g6_data\SENSEX\this_week\+100\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,43.55,320.71,0
data\g6_data\SENSEX\this_week\+100\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,889.3,981.9000000000001,0
data\g6_data\SENSEX\this_week\+100\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,797.9000000000001,884.4,0
data\g6_data\SENSEX\this_week\+100\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,685.4,162000.0,1
data\g6_data\SENSEX\this_week\+100\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,474.35,604.12,0
data\g6_data\SENSEX\this_week\+100\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,38.0,433.45000000000005,0
data\g6_data\SENSEX\this_week\+100\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,845.8,936.25,0
data\g6_data\SENSEX\this_week\+100\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,708.1500000000001,959.9875000000001,0
data\g6_data\SENSEX\this_week\+100\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,511.35,665.13,0
data\g6_data\SENSEX\this_week\+100\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,69.14999999999999,652.9875,0
data\g6_data\SENSEX\this_week\+1000\2025-09-15.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+1000\2025-09-16.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+1000\2025-09-17.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+1000\2025-09-18.csv,32,32,0,0,16,0,1758188700000,1758189600000,981.85,1029.53,0
data\g6_data\SENSEX\this_week\+1000\2025-09-19.csv,0,0,0,0,0,0,,,,,0
