date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-10-24,NIFTY,this_week,0,60,60,15,retrieval,2,2,,,24,10,0.4166666666666667,363,5760
2025-10-28,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,auto,374,3,0.008021390374331552,0.0,24,24,1.0,1,5760
2025-10-28,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,auto,4,4,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,auto,4,4,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,hybrid,429,4,0.009324009324009324,0.0,24,24,1.0,1,5760
2025-10-28,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,hybrid,4,4,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
