date,index,expiry_tag,offset,horizon,window,k,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-10-01,NIFTY,this_week,0,60,60,15,367,2,0.005449591280653951,0.0,24,24,1.0,364,5760
2025-10-03,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-07,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-08,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,0,5760
2025-10-09,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-10,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-28,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-29,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-31,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-11-04,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-11-06,NIFTY,this_week,0,60,60,15,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
