index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,effectiveness_score,effectiveness_score_adjusted,ann_guard_trigger_rate,score
NIFTY,this_week,+50,60,120,10,hybrid,15,0.9787,1.0,0.0,27.0,3.4,0.0,0.0,0.0,0.9517
NIFTY,this_week,0,60,120,15,hybrid,15,0.9718,1.0,0.0,28.8,4.53,0.0,0.0,0.0,0.943
NIFTY,next_week,0,60,60,15,retrieval,14,0.9647,1.0,0.0,23.57,1.29,0.0,0.0,0.0,0.9412
NIFTY,next_week,+50,60,120,15,hybrid,14,0.9628,1.0,0.0,26.57,3.43,0.0,0.0,0.0,0.9362
NIFTY,this_week,+50,60,60,15,hybrid,15,0.9561,1.0,0.0,27.6,3.07,0.0,0.0,0.0,0.9285
NIFTY,next_week,0,60,120,10,auto,14,0.9531,1.0,0.0,25.14,3.07,0.0,0.0,0.0,0.9279
NIFTY,next_week,0,60,120,15,hybrid,14,0.953,1.0,0.0,26.21,3.29,0.0,0.0,0.0,0.9268
NIFTY,this_week,+50,60,120,15,retrieval,15,0.945,1.0,0.0,26.6,2.13,0.0,0.0,0.0,0.9184
NIFTY,this_week,+50,60,120,10,retrieval,15,0.9448,1.0,0.0,26.8,2.07,0.0,0.0,0.0,0.918
NIFTY,this_week,0,60,120,15,auto,15,0.9396,1.0,0.0,27.67,3.47,0.0,0.0,0.0,0.9119
NIFTY,this_week,+50,60,60,10,auto,15,0.9394,1.0,0.0,27.6,3.07,0.0,0.0,0.0,0.9118
NIFTY,this_week,0,60,60,15,auto,15,0.9394,1.0,0.0,27.73,3.07,0.0,0.0,0.0,0.9117
NIFTY,this_week,0,60,60,10,hybrid,15,0.9394,1.0,0.0,27.87,3.07,0.0,0.0,0.0,0.9116
NIFTY,this_week,0,60,60,15,hybrid,15,0.9394,1.0,0.0,27.93,3.13,0.0,0.0,0.0,0.9115
NIFTY,this_week,0,60,60,15,retrieval,15,0.9337,1.0,0.0,26.67,2.0,0.0,0.0,0.0,0.907
NIFTY,this_week,+50,60,60,15,auto,15,0.9339,1.0,0.0,27.2,3.0,0.0,0.0,0.0,0.9067
NIFTY,this_week,+50,60,60,10,retrieval,15,0.9337,1.0,0.0,27.4,2.0,0.0,0.0,0.0,0.9063
NIFTY,next_week,0,60,120,15,auto,14,0.9293,1.0,0.0,24.5,3.0,0.0,0.0,0.0,0.9048
NIFTY,this_week,+50,60,120,10,auto,15,0.9285,1.0,0.0,26.93,3.33,0.0,0.0,0.0,0.9016
NIFTY,this_week,0,60,120,10,hybrid,15,0.9285,1.0,0.0,29.2,4.0,0.0,0.0,0.0,0.8993
NIFTY,this_week,0,60,120,10,retrieval,15,0.9283,1.0,0.0,29.53,2.33,0.0,0.0,0.0,0.8987
NIFTY,next_week,0,60,60,15,auto,14,0.9174,1.0,0.0,24.0,2.21,0.0,0.0,0.0,0.8934
NIFTY,this_week,+50,60,120,15,hybrid,15,0.9229,1.0,0.0,29.93,4.13,0.0,0.0,0.0,0.893
NIFTY,next_week,0,60,60,15,hybrid,14,0.9173,1.0,0.0,24.93,2.64,0.0,0.0,0.0,0.8924
