date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes,ann_guard_triggered,ann_guard_original_mad
2025-09-30,NIFTY,this_week,0,60,60,10,retrieval,365,2,0.005479452054794521,0.0,24,24,1.0,362,5760,0,
2025-10-01,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-03,NIFTY,this_week,0,60,60,10,retrieval,1,1,1.0,0.0,0,24,,0,5760,0,
2025-10-07,NIFTY,this_week,0,60,60,10,retrieval,1,1,1.0,0.0,0,24,,0,5760,0,
2025-10-08,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760,0,
2025-10-09,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-10,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-24,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-28,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-29,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-30,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-31,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-11-03,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-11-04,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-11-06,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760,0,
2025-09-30,NIFTY,this_week,0,60,60,10,auto,391,3,0.0076726342710997444,0.0,24,24,1.0,1,5760,0,
2025-10-01,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-03,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-07,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-08,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-09,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-10,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-24,NIFTY,this_week,0,60,60,10,auto,3,2,0.6666666666666666,0.0,0,24,,0,5760,0,
2025-10-28,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-29,NIFTY,this_week,0,60,60,10,auto,4,3,0.75,0.0,0,24,,0,5760,0,
2025-10-30,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
