horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,11.111777812256767,-11.111777812256767,19.0,19.0,19.0,338.0,3.0,0.008875739644970414,0.0,1.0,9120.0,1.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,27.204913145798557,-27.204913145798557,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,16.093315828116562,-16.093315828116562,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,6.77140791683205,3.49522610336819,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,12.712925754683466,-12.712925754683466,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,20.628400800179918,-20.628400800179918,60.0,0.0,24.0,4.0,3.0,0.75,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,36.93895514234715,-36.93895514234715,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,28.06012202254204,-28.06012202254204,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,23.128669184917953,-23.128669184917953,32.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,8.148479615321614,-8.148479615321614,57.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,12.530247866458025,-12.530247866458025,38.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,16.242075355358068,-16.242075355358068,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,13.040824017872865,-13.040824017872865,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
