date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,24,24,1,5760,1.0,,371,3,0.008086253369272238,0.0,0,,21.0,nan,nan,28.385445661302043,-28.385445661302043
2025-10-01,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,36.31021414875821,-36.31021414875821
2025-10-03,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.72857165014163,-15.72857165014163
2025-10-07,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,4,3,0.75,0.0,0,,60.0,nan,nan,5.583989856567773,-1.6656481022790528
2025-10-08,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.739334434701417,-15.739334434701417
2025-10-09,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,25.462673669820187,-25.462673669820187
2025-10-24,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,4,1.3333333333333333,0.0,0,,60.0,nan,nan,34.98563460034366,-34.98563460034366
2025-10-29,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.923579101378298,-15.923579101378298
2025-10-30,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,32.0,nan,nan,19.623164668790736,-19.623164668790736
2025-10-31,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,57.0,nan,nan,11.101641944362502,-11.101641944362502
2025-11-03,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,38.0,nan,nan,10.487202557980538,-10.487202557980538
2025-11-04,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,28.509838638693605,-28.509838638693605
2025-11-06,NIFTY,this_week,+50,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,19.008934450224263,-19.008934450224263
