date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,24,24,364,5760,1.0,,367,2,0.005449591280653951,0.0,0,,21.0,nan,nan,4.669031546268438,2.5797525050800436
2025-10-01,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,2.9612896844772316,2.556735369468661
2025-10-03,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,1.5295395776264902,1.0660252895872948
2025-10-07,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,5.985634694039324,-1.618128036938148
2025-10-08,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,3.186264480239118,1.9999947975318288
2025-10-09,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,1.1011465265120521,-0.7107027803585553
2025-10-24,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,6.10779525034909,-3.5801694496957497
2025-10-29,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,4.099454990559993,3.3956812523277904
2025-10-30,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,32.0,nan,nan,0.9281051373794993,0.2683827650947661
2025-10-31,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,57.0,nan,nan,2.804461051548689,-2.804461051548689
2025-11-03,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,1,0.5,0.0,0,,38.0,nan,nan,1.5958506750939458,0.42052106017616764
2025-11-04,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,9.040672177301621,3.088115934790299
2025-11-06,NIFTY,this_week,+50,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,1.9327009083385154,0.7882419905869289
