horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,42.60906567157215,-42.60906567157215,21.0,23.0,23.0,381.0,4.0,0.010498687664041995,0.0,1.0,11040.0,1.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,33.95824470667869,-33.95824470667869,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,11.933935227506302,-11.933935227506302,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.8674130174059353,-3.8081603417650145,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,18.687797694537227,-18.687797694537227,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,28.51183156202328,-28.51183156202328,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,4.0,1.3333333333333333,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,51.36683186564607,-51.36683186564607,60.0,0.0,24.0,4.0,3.0,0.75,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,20.388734704363323,-20.388734704363323,60.0,0.0,24.0,5.0,6.0,1.2,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,21.02431265726521,-21.02431265726521,32.0,0.0,24.0,6.0,5.0,0.8333333333333334,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,11.480045582821873,-11.480045582821873,57.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,9.417172753113238,-9.417172753113238,38.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,45.453206068127194,-45.453206068127194,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,14.14034292331326,-14.14034292331326,60.0,0.0,24.0,5.0,4.0,0.8,0.0,0.0,11040.0,0.0,0.0
