date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,23,10,368,11040,0.43478260869565216,,371,2,0.005390835579514825,0.22550852084009446,21.0,nan,nan,9.716324831959772,9.716324831959772
2025-10-01,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,3.984379902234363,-3.401234912963254
2025-10-03,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,2.951769570361928,0.7528553357577195
2025-10-07,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,4.529902661036527,4.5289467200893885
2025-10-08,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,3,2,0.6666666666666666,0.0,60.0,nan,nan,3.3139083444457773,1.8138802872953808
2025-10-09,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,90.69624450690809,-90.69624450690809
2025-10-24,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,5.194743955410212,2.9036557669479013
2025-10-29,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,5.879970517537373,1.8820956811080805
2025-10-30,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,32.0,nan,nan,1.579717258158885,-1.5767532144238938
2025-10-31,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,23,10,1,10304,0.43478260869565216,,2,2,1.0,0.5793216002187885,57.0,nan,nan,1.2338504024735955,-0.9406813772499223
2025-11-03,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,38.0,nan,nan,4.734917070634388,4.198932346903149
2025-11-04,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,6.659626527776493,6.625850556873699
2025-11-06,NIFTY,this_week,0,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,11040,,,2,2,1.0,0.0,60.0,nan,nan,2.9261592318282017,0.3820371641312278
