index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,score
NIFTY,this_week,0,60,60,10,retrieval,7,0.9293,0.8333,0.0,56.14,2.14,1.0281
NIFTY,this_week,0,60,60,10,hybrid,7,0.9178,0.8333,0.0642,59.43,3.57,0.9984
NIFTY,this_week,+50,60,120,15,hybrid,7,0.9182,0.8696,0.0589,54.71,3.57,0.9715
NIFTY,this_week,0,60,120,10,hybrid,7,0.9063,0.8696,0.0539,55.29,3.57,0.9585
NIFTY,this_week,0,60,120,10,auto,7,0.9063,0.8696,0.0539,55.71,3.57,0.958
NIFTY,this_week,+50,60,60,15,retrieval,7,0.8579,0.8333,0.0,54.0,2.0,0.9469
NIFTY,this_week,0,60,60,15,retrieval,7,0.8579,0.8333,0.0,54.71,2.0,0.9462
NIFTY,this_week,0,60,60,15,auto,7,0.8702,0.8333,0.0655,58.0,3.14,0.9441
NIFTY,this_week,0,60,60,10,auto,7,0.8708,0.8333,0.0642,61.71,5.14,0.9414
NIFTY,this_week,+50,60,60,15,auto,7,0.8583,0.8333,0.0733,54.71,3.0,0.932
NIFTY,this_week,0,60,60,15,hybrid,7,0.8586,0.8333,0.0655,57.0,3.14,0.9317
NIFTY,this_week,+50,60,60,10,hybrid,7,0.8583,0.8333,0.0743,54.86,3.0,0.9316
NIFTY,this_week,+50,60,60,10,auto,7,0.8583,0.8333,0.0743,55.71,3.0,0.9308
NIFTY,next_week,0,60,120,10,hybrid,7,0.9538,1.0,0.0,46.14,3.29,0.9076
NIFTY,this_week,+50,60,120,10,retrieval,7,0.8345,0.8696,0.0,55.29,2.29,0.888
NIFTY,next_week,+50,60,60,15,retrieval,7,0.9295,1.0,0.0,44.57,1.43,0.8849
NIFTY,next_week,+50,60,60,10,retrieval,7,0.9295,1.0,0.0,45.14,1.43,0.8844
NIFTY,next_week,0,60,60,10,hybrid,7,0.93,1.0,0.0,45.71,2.57,0.8843
NIFTY,next_week,0,60,60,15,auto,7,0.93,1.0,0.0,46.14,3.0,0.8838
NIFTY,this_week,0,60,120,15,auto,7,0.8345,0.8696,0.0531,55.43,3.43,0.8773
NIFTY,next_week,+50,60,120,15,auto,7,0.9185,1.0,0.0,46.57,3.57,0.872
NIFTY,this_week,+50,60,120,15,auto,7,0.823,0.8696,0.0589,55.14,3.57,0.8634
NIFTY,this_week,+50,60,60,10,retrieval,7,0.7865,0.8333,0.0,54.86,1.86,0.8627
NIFTY,this_week,+50,60,120,10,hybrid,7,0.8226,0.8696,0.0606,55.14,3.29,0.8626
NIFTY,this_week,0,60,120,15,retrieval,7,0.8103,0.8696,0.0,54.0,2.0,0.862
NIFTY,this_week,0,60,120,10,retrieval,7,0.8103,0.8696,0.0,55.29,2.29,0.8607
NIFTY,next_week,+50,60,120,10,auto,7,0.9062,1.0,0.0,46.14,3.14,0.86
NIFTY,next_week,+50,60,120,10,hybrid,7,0.9066,1.0,0.0,47.0,3.43,0.8596
NIFTY,this_week,+50,60,120,10,auto,7,0.8229,0.8696,0.0606,59.86,3.57,0.8582
NIFTY,this_week,+50,60,60,15,hybrid,7,0.7869,0.8333,0.0733,54.86,3.0,0.8485
NIFTY,next_week,+50,60,120,15,hybrid,7,0.8943,1.0,0.0,46.14,3.43,0.8481
NIFTY,this_week,0,60,120,15,hybrid,7,0.7992,0.8696,0.0531,55.86,3.43,0.8369
NIFTY,next_week,+50,60,60,10,auto,7,0.8824,1.0,0.0,45.43,2.71,0.8369
NIFTY,next_week,0,60,60,15,hybrid,7,0.8823,1.0,0.0,46.14,2.71,0.8362
NIFTY,next_week,0,60,60,10,auto,7,0.8823,1.0,0.0,47.14,3.29,0.8352
NIFTY,next_week,+50,60,60,15,auto,7,0.8586,1.0,0.0,45.14,2.43,0.8134
NIFTY,next_week,+50,60,120,10,retrieval,7,0.8581,1.0,0.0,44.71,2.14,0.8134
NIFTY,next_week,0,60,120,15,hybrid,7,0.8585,1.0,0.0,46.43,3.0,0.8121
NIFTY,this_week,+50,60,120,15,retrieval,7,0.7627,0.8696,0.0,54.0,2.0,0.8082
NIFTY,next_week,0,60,120,10,auto,7,0.8514,1.0,0.0,48.29,3.71,0.8031
NIFTY,next_week,0,60,120,15,auto,7,0.8228,1.0,0.0,46.29,3.0,0.7765
NIFTY,next_week,0,60,120,10,retrieval,7,0.8105,1.0,0.0,44.86,2.0,0.7656
NIFTY,next_week,0,60,120,15,retrieval,7,0.8109,1.0,0.0,45.57,2.14,0.7654
NIFTY,next_week,0,60,60,15,retrieval,7,0.7866,1.0,0.0,44.86,1.29,0.7418
NIFTY,next_week,+50,60,60,15,hybrid,7,0.7867,1.0,0.0,45.57,2.29,0.7411
NIFTY,next_week,+50,60,60,10,hybrid,7,0.7633,1.0,0.0,46.43,2.57,0.7169
NIFTY,next_week,+50,60,120,15,retrieval,7,0.7628,1.0,0.0,49.14,2.0,0.7136
NIFTY,next_week,0,60,60,10,retrieval,7,0.6438,1.0,0.0,45.29,1.14,0.5985
