date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,24,20,371,5760,0.8333333333333334,,374,2,0.0053475935828877,0.0,0,,21.0,nan,nan,6.383927916629277,4.698844237703899
2025-10-01,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,3.389173978288995,2.9658345743746235
2025-10-03,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,1.654178587029708,1.1234629998320604
2025-10-07,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,5.625906628699115,-1.0898177179028679
2025-10-08,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,3.7842246020089108,2.8804147494229038
2025-10-09,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,0.9239713863906824,-0.37633562334676185
2025-10-24,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,6.090094628208537,-3.9429191954356457
2025-10-29,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,4.322355174569845,3.705795632471531
2025-10-30,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,32.0,nan,nan,0.7535030144691373,0.17377509864652474
2025-10-31,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,57.0,nan,nan,1.9921309078475995,-1.7235848197610333
2025-11-03,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,38.0,nan,nan,1.8096344305503742,1.1392495350777763
2025-11-04,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,7.920988260369523,1.5038136918458505
2025-11-06,NIFTY,this_week,+50,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,2,2,1.0,0.0,0,,60.0,nan,nan,1.811858460033416,0.7197214528508202
