index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,score
NIFTY,this_week,0,60,60,15,retrieval,15,0.9559,0.8333,0.0,28.8,2.13,1.0864
NIFTY,next_week,+50,60,60,10,retrieval,14,1.1076,1.0,0.0,23.86,1.36,1.0837
NIFTY,this_week,0,60,60,10,retrieval,15,0.9337,0.8333,0.0,27.0,1.73,1.0623
NIFTY,this_week,0,60,120,15,hybrid,15,0.9896,0.8696,0.1861,27.47,3.47,1.054
NIFTY,this_week,+50,60,60,15,hybrid,15,0.9561,0.8333,0.2005,26.73,3.07,1.0486
NIFTY,this_week,+50,60,60,10,auto,15,0.9561,0.8333,0.1978,28.2,3.07,1.0477
NIFTY,this_week,0,60,120,10,retrieval,15,0.945,0.8696,0.0,26.33,2.27,1.0419
NIFTY,this_week,0,60,60,15,auto,15,0.9561,0.8333,0.2399,27.47,3.07,1.04
NIFTY,this_week,+50,60,120,10,hybrid,15,0.9707,0.8696,0.1567,27.53,3.47,1.0385
NIFTY,this_week,+50,60,60,15,retrieval,15,0.9115,0.8333,0.0,26.6,2.0,1.0368
NIFTY,this_week,+50,60,120,10,auto,15,0.9616,0.8696,0.1567,27.8,3.27,1.0279
NIFTY,this_week,+50,60,60,10,hybrid,15,0.9339,0.8333,0.1978,27.0,3.0,1.023
NIFTY,this_week,0,60,60,10,hybrid,15,0.9467,0.8333,0.2394,37.27,5.0,1.0193
NIFTY,this_week,+50,60,120,15,retrieval,15,0.9226,0.8696,0.0,26.07,2.13,1.0169
NIFTY,this_week,+50,60,60,15,auto,15,0.9172,0.8333,0.2005,27.2,3.0,1.0028
NIFTY,this_week,0,60,60,15,hybrid,15,0.9172,0.8333,0.2399,27.27,3.0,0.9948
NIFTY,this_week,0,60,60,10,auto,15,0.9172,0.8333,0.2394,28.0,3.07,0.9942
NIFTY,this_week,0,60,120,15,retrieval,15,0.9007,0.8696,0.0,26.73,2.27,0.9915
NIFTY,this_week,+50,60,120,10,retrieval,15,0.9005,0.8696,0.0,27.0,2.2,0.991
NIFTY,this_week,0,60,120,10,hybrid,15,0.923,0.8696,0.1876,27.73,3.6,0.9781
NIFTY,this_week,+50,60,120,15,hybrid,15,0.9174,0.8696,0.1572,28.33,3.8,0.9773
NIFTY,next_week,+50,60,120,10,hybrid,14,1.0007,1.0,0.0,24.5,3.21,0.9762
NIFTY,next_week,0,60,60,10,retrieval,14,1.0004,1.0,0.0,24.36,1.29,0.9761
NIFTY,this_week,0,60,120,10,auto,15,0.9096,0.8696,0.1876,29.0,3.8,0.9617
NIFTY,this_week,0,60,120,15,auto,15,0.8952,0.8696,0.1861,27.73,3.27,0.947
NIFTY,this_week,+50,60,120,15,auto,15,0.8873,0.8696,0.1572,30.53,3.6,0.9411
NIFTY,next_week,0,60,60,15,hybrid,14,0.965,1.0,0.0,24.5,2.86,0.9405
NIFTY,next_week,+50,60,60,10,hybrid,14,0.965,1.0,0.0,24.86,2.64,0.9401
NIFTY,next_week,+50,60,120,10,auto,14,0.959,1.0,0.0,26.5,3.57,0.9325
NIFTY,next_week,+50,60,60,10,auto,14,0.9531,1.0,0.0,24.71,2.57,0.9284
NIFTY,next_week,+50,60,120,10,retrieval,14,0.9517,1.0,0.0,24.21,2.29,0.9274
NIFTY,next_week,0,60,120,10,hybrid,14,0.9412,1.0,0.0,25.29,3.14,0.9159
NIFTY,next_week,+50,60,120,15,auto,14,0.9352,1.0,0.0,24.5,3.07,0.9107
NIFTY,this_week,+50,60,60,10,retrieval,15,0.8004,0.8333,0.0,26.07,1.6,0.9077
NIFTY,next_week,+50,60,60,15,retrieval,14,0.929,1.0,0.0,23.21,1.21,0.9058
NIFTY,next_week,+50,60,60,15,hybrid,14,0.9293,1.0,0.0,24.64,2.86,0.9046
NIFTY,next_week,0,60,120,10,auto,14,0.9176,1.0,0.0,25.21,3.14,0.8924
NIFTY,next_week,0,60,120,15,hybrid,14,0.9174,1.0,0.0,25.07,3.14,0.8923
NIFTY,next_week,0,60,60,10,hybrid,14,0.9114,1.0,0.0,24.36,2.36,0.8871
NIFTY,next_week,+50,60,120,15,hybrid,14,0.9114,1.0,0.0,24.93,3.14,0.8865
NIFTY,next_week,0,60,120,15,auto,14,0.9114,1.0,0.0,26.07,3.07,0.8853
NIFTY,next_week,+50,60,120,15,retrieval,14,0.9052,1.0,0.0,24.0,2.0,0.8812
NIFTY,next_week,0,60,120,15,retrieval,14,0.9052,1.0,0.0,24.5,2.0,0.8807
NIFTY,next_week,0,60,120,10,retrieval,14,0.9052,1.0,0.0,24.79,2.0,0.8804
NIFTY,next_week,0,60,60,10,auto,14,0.8697,1.0,0.0,24.79,2.36,0.8449
NIFTY,next_week,+50,60,60,15,auto,14,0.8578,1.0,0.0,24.43,2.71,0.8334
NIFTY,next_week,0,60,60,15,auto,14,0.834,1.0,0.0,24.43,2.5,0.8096
NIFTY,next_week,0,60,60,15,retrieval,14,0.8219,1.0,0.0,23.79,1.07,0.7981
