date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-09-30,NIFTY,this_week,0,60,60,10,retrieval,380,2,0.005263157894736842,0.0,24,20,0.8333333333333334,377,5760
2025-10-01,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,10,retrieval,1,1,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,10,retrieval,1,2,2.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,10,retrieval,1,1,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,10,auto,376,3,0.007978723404255319,3.5913792275859007,24,20,0.8333333333333334,1,5760
2025-10-01,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,10,auto,4,4,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,10,auto,4,3,0.75,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,10,hybrid,489,5,0.010224948875255624,3.5913792275859007,24,20,0.8333333333333334,1,5760
2025-10-01,NIFTY,this_week,0,60,60,10,hybrid,6,6,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,10,hybrid,6,6,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,10,hybrid,5,5,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,10,hybrid,6,6,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,10,hybrid,4,4,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,10,hybrid,5,6,1.2,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,10,hybrid,6,5,0.8333333333333334,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,10,hybrid,5,4,0.8,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,10,hybrid,4,4,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,10,hybrid,4,4,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,10,hybrid,4,4,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,10,hybrid,4,4,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,10,hybrid,4,6,1.5,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,10,hybrid,7,6,0.8571428571428571,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,15,retrieval,402,2,0.004975124378109453,0.0,24,20,0.8333333333333334,398,5760
2025-10-01,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,15,retrieval,2,3,1.5,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,retrieval,2,3,1.5,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,15,auto,370,3,0.008108108108108109,3.598852004557211,24,20,0.8333333333333334,1,5760
2025-10-01,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
