date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,19,19,1,9120,1.0,,324,3,0.009259259259259259,0.0,0,,19.0,nan,nan,11.0402619162984,-11.0402619162984
2025-10-01,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,4,1.3333333333333333,0.0,0,,59.0,nan,nan,26.313877598546522,-26.313877598546522
2025-10-03,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.105561784356205,-15.105561784356205
2025-10-07,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,5.551088233238074,3.2619269371180213
2025-10-08,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,9.741644083573833,-9.741644083573833
2025-10-10,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,4,1.3333333333333333,0.0,0,,60.0,nan,nan,18.282369494945275,-18.282369494945275
2025-10-24,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,4,1.3333333333333333,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,6,4,0.6666666666666666,0.0,0,,60.0,nan,nan,34.77249932796665,-34.77249932796665
2025-10-29,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,26.582159304769622,-26.582159304769622
2025-10-30,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,4,1.0,0.0,0,,32.0,nan,nan,22.439221293540612,-22.439221293540612
2025-10-31,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,4,1.0,0.0,0,,57.0,nan,nan,9.706311770571446,-9.706311770571446
2025-11-03,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,4,1.0,0.0,0,,38.0,nan,nan,12.819034091089012,-12.819034091089012
2025-11-04,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,4,1.0,0.0,0,,60.0,nan,nan,14.64472708617278,-14.64472708617278
2025-11-06,NIFTY,next_week,+50,60,120,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,3,0.75,0.0,0,,60.0,nan,nan,13.89055544503198,-13.89055544503198
