horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,11.0402619162984,-11.0402619162984,19.0,19.0,19.0,304.0,3.0,0.009868421052631578,0.0,1.0,9120.0,1.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,26.313877598546522,-26.313877598546522,59.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,15.105561784356205,-15.105561784356205,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,5.551088233238074,3.2619269371180213,60.0,0.0,24.0,3.0,4.0,1.3333333333333333,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,9.741644083573833,-9.741644083573833,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,18.282369494945275,-18.282369494945275,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,34.77249932796665,-34.77249932796665,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,26.582159304769622,-26.582159304769622,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,22.439221293540612,-22.439221293540612,32.0,0.0,24.0,3.0,4.0,1.3333333333333333,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,9.706311770571446,-9.706311770571446,57.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,12.819034091089012,-12.819034091089012,38.0,0.0,24.0,3.0,4.0,1.3333333333333333,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,14.64472708617278,-14.64472708617278,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
60,120,10,hybrid,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,13.89055544503198,-13.89055544503198,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,9120.0,0.0,0.0
