date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,19,19,1,4560,1.0,,308,3,0.00974025974025974,0.0,0,,19.0,nan,nan,12.036436361274953,-12.036436361274953
2025-10-01,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,59.0,nan,nan,27.199617674706147,-27.199617674706147
2025-10-03,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.380065958932402,-15.380065958932402
2025-10-07,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,5.213325054841323,3.1749881144400667
2025-10-08,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,9.493741165619944,-9.493741165619944
2025-10-10,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,16.855190918729342,-16.855190918729342
2025-10-24,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,32.53790878985946,-32.53790878985946
2025-10-29,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,25.039119430469587,-25.039119430469587
2025-10-30,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,32.0,nan,nan,22.56859748616189,-22.56859748616189
2025-10-31,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,2,2,1.0,0.0,0,,57.0,nan,nan,5.6862770946386805,-5.6862770946386805
2025-11-03,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,38.0,nan,nan,11.150622763446899,-11.150622763446899
2025-11-04,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,2,2,1.0,0.0,0,,60.0,nan,nan,15.720577680424697,-15.720577680424697
2025-11-06,NIFTY,next_week,+50,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,4560,,,3,3,1.0,0.0,0,,60.0,nan,nan,14.797930380863116,-14.797930380863116
