date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,19,19,1,9120,1.0,,324,3,0.009259259259259259,0.0,0,,19.0,nan,nan,10.75641665385366,-10.75641665385366
2025-10-01,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,26.79692787355984,-26.79692787355984
2025-10-03,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,3,0.75,0.0,0,,60.0,nan,nan,15.767812597220468,-15.767812597220468
2025-10-07,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,6.8147802413451295,3.673801546494464
2025-10-08,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,12.186402630805487,-12.186402630805487
2025-10-10,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,20.06444929718957,-20.06444929718957
2025-10-24,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,36.14126218396475,-36.14126218396475
2025-10-29,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,28.503397566956828,-28.503397566956828
2025-10-30,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,32.0,nan,nan,22.828009016847897,-22.828009016847897
2025-10-31,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,57.0,nan,nan,9.05078607049973,-9.05078607049973
2025-11-03,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,38.0,nan,nan,13.227868340677613,-13.227868340677613
2025-11-04,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,4,4,1.0,0.0,0,,60.0,nan,nan,15.50871453328275,-15.50871453328275
2025-11-06,NIFTY,next_week,0,60,120,15,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,13.481656430376036,-13.481656430376036
