horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,10.308658155282119,10.308658155282119,21.0,24.0,20.0,402.0,2.0,0.004975124378109453,0.0,398.0,5760.0,0.8333333333333334,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,2.7064140836470503,-0.1347984721573468,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,2.8156159461230557,-1.1038536064666908,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,3.3167168834142364,3.0579507229589784,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,3.2126366446750905,1.7470671574015597,60.0,0.0,24.0,2.0,3.0,1.5,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,2.0,0.6666666666666666,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,3.4446129691684266,-3.4137283332165365,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,5.34997521843077,3.4763347366673623,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,5.649120600096078,2.5637981588718644,60.0,0.0,24.0,2.0,3.0,1.5,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,0.5870566739639038,0.519589436621132,32.0,0.0,24.0,3.0,2.0,0.6666666666666666,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,2.3798159525435367,-2.3298225434132895,57.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,5.144069123230237,4.822073694746012,38.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,5.368293209139751,5.276746008482863,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,3.1333085708095583,-0.9974249861155101,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
