date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,19,19,1,9120,1.0,,311,3,0.00964630225080386,0.0,0,,19.0,nan,nan,11.111777812256767,-11.111777812256767
2025-10-01,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,27.204913145798557,-27.204913145798557
2025-10-03,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,16.093315828116562,-16.093315828116562
2025-10-07,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,6.77140791683205,3.49522610336819
2025-10-08,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,12.712925754683466,-12.712925754683466
2025-10-10,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,20.628400800179918,-20.628400800179918
2025-10-24,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,36.93895514234715,-36.93895514234715
2025-10-29,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,28.06012202254204,-28.06012202254204
2025-10-30,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,32.0,nan,nan,23.128669184917953,-23.128669184917953
2025-10-31,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,57.0,nan,nan,8.148479615321614,-8.148479615321614
2025-11-03,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,38.0,nan,nan,12.530247866458025,-12.530247866458025
2025-11-04,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,3,1.0,0.0,0,,60.0,nan,nan,16.242075355358068,-16.242075355358068
2025-11-06,NIFTY,next_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,9120,,,3,4,1.3333333333333333,0.0,0,,60.0,nan,nan,13.040824017872865,-13.040824017872865
