date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,19,19,310,4560,1.0,,313,2,0.006389776357827476,0.0,0,,19.0,nan,nan,2.1663721636552573,2.00459792756499
2025-10-01,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,60.0,nan,nan,3.320575182678011,-0.6857584214345508
2025-10-03,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,2,1,0.5,0.0,0,,60.0,nan,nan,3.783397702873642,0.5202641698409839
2025-10-07,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,60.0,nan,nan,7.508018850741354,6.835242449967216
2025-10-08,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,60.0,nan,nan,3.8267758767826328,2.0956492397197297
2025-10-10,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,60.0,nan,nan,3.5637224112846875,-3.388629892410697
2025-10-24,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,60.0,nan,nan,12.802796511961564,12.61109277920396
2025-10-29,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,60.0,nan,nan,5.239193124263641,1.9597067922906755
2025-10-30,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,2,2.0,0.0,0,,32.0,nan,nan,0.7077952307668323,0.38664355990452215
2025-10-31,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,57.0,nan,nan,1.9498748110223527,-0.5524037146280889
2025-11-03,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,1,1.0,0.0,0,,38.0,nan,nan,7.4392000857599765,6.9903537338975505
2025-11-04,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,1,2,2.0,0.0,0,,60.0,nan,nan,3.175857755909114,-1.8812342151739794
2025-11-06,NIFTY,next_week,0,60,60,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,4560,,,2,1,0.5,0.0,0,,60.0,nan,nan,3.395454832038999,1.5581568532647292
