date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,23,23,1,11040,1.0,,381,4,0.010498687664041995,0.0,0,,21.0,nan,nan,42.60906567157215,-42.60906567157215
2025-10-01,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,5,1.25,0.0,0,,60.0,nan,nan,33.95824470667869,-33.95824470667869
2025-10-03,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,5,1.25,0.0,0,,60.0,nan,nan,11.933935227506302,-11.933935227506302
2025-10-07,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,3.8674130174059353,-3.8081603417650145
2025-10-08,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,18.687797694537227,-18.687797694537227
2025-10-09,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,28.51183156202328,-28.51183156202328
2025-10-24,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,51.36683186564607,-51.36683186564607
2025-10-29,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,20.388734704363323,-20.388734704363323
2025-10-30,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,32.0,nan,nan,21.02431265726521,-21.02431265726521
2025-10-31,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,57.0,nan,nan,11.480045582821873,-11.480045582821873
2025-11-03,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,38.0,nan,nan,9.417172753113238,-9.417172753113238
2025-11-04,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,45.453206068127194,-45.453206068127194
2025-11-06,NIFTY,this_week,0,60,120,10,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,14.14034292331326,-14.14034292331326
