date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,23,23,380,11040,1.0,,383,3,0.007832898172323759,0.0,0,,21.0,nan,nan,10.055663174456253,10.055663174456253
2025-10-01,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,2,3,1.5,0.0,0,,60.0,nan,nan,4.597530538351494,-4.23471115680333
2025-10-03,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,2.9459188025407888,1.1305209928573072
2025-10-07,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,2,2,1.0,0.0,0,,60.0,nan,nan,5.401854161293236,5.401854161293236
2025-10-08,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,2,2,1.0,0.0,0,,60.0,nan,nan,3.2702248119008615,1.6774836018382524
2025-10-09,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,2,2,1.0,0.0,0,,60.0,nan,nan,86.7354070864029,-86.7354070864029
2025-10-24,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,2,3,1.5,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,2,0.6666666666666666,0.0,0,,60.0,nan,nan,5.1331407804234495,3.538441707399033
2025-10-29,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,5.906872079250274,0.8728763507591386
2025-10-30,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,3,1.0,0.0,0,,32.0,nan,nan,1.843525770920734,-1.843525770920734
2025-10-31,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,23,23,1,10304,1.0,,4,3,0.75,0.0,0,,57.0,nan,nan,0.868298209775864,-0.17000854105842872
2025-11-03,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,3,1.0,0.0,0,,38.0,nan,nan,4.780288331231754,4.241112464794367
2025-11-04,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,2,0.6666666666666666,0.0,0,,60.0,nan,nan,6.9544568931943,6.9544568931943
2025-11-06,NIFTY,this_week,0,60,120,15,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,30,1,0,24,0,11040,,,3,2,0.6666666666666666,0.0,0,,60.0,nan,nan,2.8941221240059893,0.6399729400231455
