index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,effectiveness_score,score
NIFTY,next_week,+50,60,60,10,hybrid,14,1.0362,1.0,0.0,23.0,2.21,0.0,1.0132
NIFTY,next_week,0,60,120,10,retrieval,14,1.0124,1.0,0.0,23.71,2.21,0.0,0.9887
NIFTY,this_week,+50,60,120,15,auto,15,1.0063,1.0,0.0,27.47,3.47,0.0,0.9788
NIFTY,this_week,0,60,60,10,retrieval,15,1.0004,1.0,0.0,26.4,1.73,0.0,0.974
NIFTY,next_week,0,60,60,10,hybrid,14,0.9886,1.0,0.0,23.64,2.29,0.0,0.9649
NIFTY,this_week,+50,60,120,10,auto,15,0.9841,1.0,0.0,27.8,3.53,0.0,0.9563
NIFTY,next_week,+50,60,60,15,hybrid,14,0.9769,1.0,0.0,23.5,2.21,0.0,0.9534
NIFTY,this_week,+50,60,60,10,auto,15,0.9761,1.0,0.0,29.0,3.8,0.0,0.9471
NIFTY,next_week,+50,60,60,10,retrieval,14,0.9648,1.0,0.0,22.07,1.14,0.0,0.9427
NIFTY,this_week,0,60,60,10,hybrid,15,0.9651,1.0,0.0,28.87,3.27,0.0,0.9363
NIFTY,this_week,+50,60,60,10,retrieval,15,0.967,1.0,0.0,30.8,2.07,0.0,0.9362
NIFTY,next_week,0,60,60,15,hybrid,14,0.9529,1.0,0.0,23.36,2.14,0.0,0.9295
NIFTY,next_week,0,60,60,10,auto,14,0.9531,1.0,0.0,23.86,2.5,0.0,0.9292
NIFTY,next_week,+50,60,120,10,auto,14,0.9531,1.0,0.0,24.29,3.07,0.0,0.9288
NIFTY,next_week,+50,60,120,15,auto,14,0.9531,1.0,0.0,24.43,3.14,0.0,0.9287
NIFTY,this_week,0,60,120,10,hybrid,15,0.9507,1.0,0.0,28.4,3.4,0.0,0.9223
NIFTY,this_week,0,60,60,15,hybrid,15,0.9484,1.0,0.0,30.33,3.47,0.0,0.9181
NIFTY,this_week,0,60,120,15,retrieval,15,0.945,1.0,0.0,27.33,2.27,0.0,0.9176
NIFTY,next_week,+50,60,60,15,auto,14,0.9412,1.0,0.0,23.86,2.43,0.0,0.9173
NIFTY,this_week,+50,60,120,15,retrieval,15,0.945,1.0,0.0,28.27,2.13,0.0,0.9167
NIFTY,this_week,+50,60,120,15,hybrid,15,0.9396,1.0,0.0,26.73,3.27,0.0,0.9129
NIFTY,this_week,0,60,120,15,hybrid,15,0.9396,1.0,0.0,28.13,3.47,0.0,0.9115
NIFTY,next_week,0,60,120,15,auto,14,0.9355,1.0,0.0,24.79,3.14,0.0,0.9107
NIFTY,next_week,0,60,120,15,hybrid,14,0.9352,1.0,0.0,24.57,3.07,0.0,0.9107
NIFTY,next_week,0,60,120,10,auto,14,0.9352,1.0,0.0,25.07,3.07,0.0,0.9101
NIFTY,this_week,+50,60,60,15,hybrid,15,0.9339,1.0,0.0,26.67,2.93,0.0,0.9072
NIFTY,this_week,0,60,120,15,auto,15,0.9362,1.0,0.0,29.27,3.6,0.0,0.907
NIFTY,this_week,+50,60,60,15,retrieval,15,0.9337,1.0,0.0,26.67,2.0,0.0,0.907
NIFTY,next_week,0,60,60,15,retrieval,14,0.929,1.0,0.0,22.57,1.07,0.0,0.9065
NIFTY,this_week,+50,60,60,10,hybrid,15,0.9339,1.0,0.0,27.53,3.0,0.0,0.9063
NIFTY,next_week,0,60,60,10,retrieval,14,0.929,1.0,0.0,23.21,1.07,0.0,0.9058
NIFTY,next_week,+50,60,120,15,hybrid,14,0.9293,1.0,0.0,24.07,3.0,0.0,0.9052
NIFTY,next_week,0,60,60,15,auto,14,0.9293,1.0,0.0,24.29,2.36,0.0,0.905
NIFTY,this_week,0,60,120,10,auto,15,0.934,1.0,0.0,29.27,4.2,0.0,0.9048
NIFTY,this_week,+50,60,120,10,hybrid,15,0.9374,1.0,0.0,33.87,3.93,0.0,0.9035
NIFTY,this_week,0,60,60,10,auto,15,0.9262,1.0,0.0,30.07,3.33,0.0,0.8961
NIFTY,next_week,+50,60,60,10,auto,14,0.9174,1.0,0.0,24.0,2.57,0.0,0.8934
NIFTY,next_week,0,60,120,10,hybrid,14,0.9114,1.0,0.0,24.86,3.0,0.0,0.8866
NIFTY,this_week,+50,60,60,15,auto,15,0.9117,1.0,0.0,27.2,2.93,0.0,0.8845
NIFTY,this_week,0,60,60,15,retrieval,15,0.9115,1.0,0.0,27.07,2.0,0.0,0.8844
NIFTY,next_week,+50,60,120,10,retrieval,14,0.9052,1.0,0.0,23.29,2.0,0.0,0.882
NIFTY,next_week,+50,60,120,10,hybrid,14,0.9069,1.0,0.0,25.07,3.14,0.0,0.8818
NIFTY,next_week,+50,60,120,15,retrieval,14,0.9052,1.0,0.0,23.43,2.0,0.0,0.8818
NIFTY,next_week,0,60,120,15,retrieval,14,0.9052,1.0,0.0,23.79,2.0,0.0,0.8814
NIFTY,this_week,+50,60,120,10,retrieval,15,0.9005,1.0,0.0,26.73,2.53,0.0,0.8738
NIFTY,this_week,0,60,120,10,retrieval,15,0.9005,1.0,0.0,27.87,2.67,0.0,0.8727
NIFTY,next_week,+50,60,60,15,retrieval,14,0.8933,1.0,0.0,22.21,1.07,0.0,0.8711
NIFTY,this_week,0,60,60,15,auto,15,0.8838,1.0,0.0,31.13,3.0,0.0,0.8527
