date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-09-30,NIFTY,this_week,0,60,60,10,retrieval,371,2,0.005390835579514825,0.0,24,24,1.0,368,5760
2025-10-01,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,10,retrieval,1,2,2.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,10,retrieval,1,2,2.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,10,retrieval,1,2,2.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,10,auto,404,4,0.009900990099009901,0.0,24,24,1.0,2,5760
2025-10-01,NIFTY,this_week,0,60,60,10,auto,4,3,0.75,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,10,auto,4,4,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,10,auto,5,4,0.8,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,10,auto,4,4,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,10,hybrid,389,4,0.010282776349614395,0.0,24,24,1.0,1,5760
2025-10-01,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,10,hybrid,3,5,1.6666666666666667,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,10,hybrid,5,4,0.8,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,15,retrieval,377,2,0.005305039787798408,0.0,24,24,1.0,373,5760
2025-10-01,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,15,auto,422,3,0.0071090047393364926,0.0,24,24,1.0,1,5760
2025-10-01,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,15,auto,3,3,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,60,15,hybrid,407,4,0.009828009828009828,0.0,24,24,1.0,1,5760
2025-10-01,NIFTY,this_week,0,60,60,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,0,60,60,15,hybrid,4,3,0.75,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,0,60,60,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,0,60,60,15,hybrid,5,4,0.8,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,0,60,60,15,hybrid,6,6,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,0,60,60,15,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,0,60,120,10,retrieval,378,3,0.007936507936507936,0.0,23,23,1.0,374,11040
2025-10-01,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,10,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-09,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-10,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-24,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-28,NIFTY,this_week,0,60,120,10,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-29,NIFTY,this_week,0,60,120,10,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,11040
2025-10-30,NIFTY,this_week,0,60,120,10,retrieval,2,3,1.5,0.0,0,24,,0,11040
2025-10-31,NIFTY,this_week,0,60,120,10,retrieval,6,4,0.6666666666666666,0.0,23,23,1.0,2,10304
2025-11-03,NIFTY,this_week,0,60,120,10,retrieval,4,4,1.0,0.0,0,24,,0,11040
2025-11-04,NIFTY,this_week,0,60,120,10,retrieval,4,4,1.0,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,10,retrieval,4,4,1.0,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,0,60,120,10,auto,380,4,0.010526315789473684,0.0,23,23,1.0,1,11040
2025-10-01,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-09,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-10,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-24,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-28,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-29,NIFTY,this_week,0,60,120,10,auto,7,7,1.0,0.0,0,24,,0,11040
2025-10-30,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-31,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-11-03,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-11-04,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,10,auto,4,4,1.0,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,0,60,120,10,hybrid,379,4,0.010554089709762533,0.0,23,23,1.0,1,11040
2025-10-01,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,10,hybrid,4,3,0.75,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-09,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-10,NIFTY,this_week,0,60,120,10,hybrid,4,4,1.0,0.0,0,24,,0,11040
2025-10-24,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-28,NIFTY,this_week,0,60,120,10,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-10-29,NIFTY,this_week,0,60,120,10,hybrid,4,3,0.75,0.0,0,24,,0,11040
2025-10-30,NIFTY,this_week,0,60,120,10,hybrid,3,5,1.6666666666666667,0.0,0,24,,0,11040
2025-10-31,NIFTY,this_week,0,60,120,10,hybrid,4,4,1.0,0.0,0,24,,0,11040
2025-11-03,NIFTY,this_week,0,60,120,10,hybrid,4,3,0.75,0.0,0,24,,0,11040
2025-11-04,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,0,60,120,15,retrieval,378,3,0.007936507936507936,0.0,23,23,1.0,374,11040
2025-10-01,NIFTY,this_week,0,60,120,15,retrieval,2,3,1.5,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
