date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,23,23,1,11040,1.0,,356,4,0.011235955056179775,0.0,0,,21.0,nan,nan,28.909681241526954,-28.909681241526954
2025-10-01,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,4,3,0.75,0.0,0,,60.0,nan,nan,35.940549652373946,-35.940549652373946
2025-10-03,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,13.051279013870067,-13.051279013870067
2025-10-07,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,4,4,1.0,0.0,0,,60.0,nan,nan,5.746110818175921,-1.9367531765262505
2025-10-08,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.558693517338895,-15.558693517338895
2025-10-09,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,24.766940451191843,-24.766940451191843
2025-10-24,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,32.58670429071409,-32.58670429071409
2025-10-29,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,19.068076998609254,-19.068076998609254
2025-10-30,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,32.0,nan,nan,19.057557357014087,-19.057557357014087
2025-10-31,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,57.0,nan,nan,12.212223180635096,-12.212223180635096
2025-11-03,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,38.0,nan,nan,11.947174487458517,-11.947174487458517
2025-11-04,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,3,1.0,0.0,0,,60.0,nan,nan,29.92857269172529,-29.92857269172529
2025-11-06,NIFTY,this_week,+50,60,120,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,11040,,,3,4,1.3333333333333333,0.0,0,,60.0,nan,nan,16.76840638426767,-16.76840638426767
