horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,9.362276432271399,8.024265750555246,21.0,23.0,23.0,395.0,3.0,0.007594936708860759,0.0,389.0,11040.0,1.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.0649225134903,-1.1690779469507295,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.4977551816385968,2.1987092474523435,60.0,0.0,24.0,2.0,3.0,1.5,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,6.180729452806178,-3.4003215799906266,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.1754720255923483,1.8732059379103438,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,78.05610001941072,-78.05610001941072,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.411775688088174,0.0731569401660361,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,4.055362835692663,2.9264182724147134,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,1.028219908308662,-0.33358172102237127,32.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,1.7240414153218437,-1.5198566936026598,57.0,23.0,23.0,3.0,2.0,0.6666666666666666,0.0,1.0,10304.0,1.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,1.9219515246819823,0.6611560625903792,38.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,10.931828291345266,6.244287226346111,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.2599355899646283,1.44631607030698,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
