date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,24,24,2,5760,1.0,,404,4,0.009900990099009901,0.0,0,,21.0,nan,nan,40.866897357702314,-40.866897357702314
2025-10-01,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,4,3,0.75,0.0,0,,60.0,nan,nan,35.74419700931244,-35.74419700931244
2025-10-03,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,13.828639415662572,-13.828639415662572
2025-10-07,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,4,1.3333333333333333,0.0,0,,60.0,nan,nan,7.767154985190367,-7.767154985190367
2025-10-08,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,18.39512957057777,-18.39512957057777
2025-10-09,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,28.18606719072618,-28.18606719072618
2025-10-24,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,52.47406098155257,-52.47406098155257
2025-10-29,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.21169407351687,-15.21169407351687
2025-10-30,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,32.0,nan,nan,22.344270834060886,-22.344270834060886
2025-10-31,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,3,3,1.0,0.0,0,,57.0,nan,nan,3.2576851410124865,-3.2576851410124865
2025-11-03,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,4,4,1.0,0.0,0,,38.0,nan,nan,8.916769597266763,-8.916769597266763
2025-11-04,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,5,4,0.8,0.0,0,,60.0,nan,nan,46.67843326338452,-46.67843326338452
2025-11-06,NIFTY,this_week,0,60,60,10,auto,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,50,1,0,24,0,5760,,,4,4,1.0,0.0,0,,60.0,nan,nan,15.53392897745318,-15.53392897745318
