horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,10.184301271046204,10.184301271046204,21.0,24.0,24.0,371.0,2.0,0.005390835579514825,0.0,368.0,5760.0,1.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.6771633878308236,0.10183863957469867,60.0,0.0,24.0,2.0,1.0,0.5,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.5587024102667177,-1.773081976699487,60.0,0.0,24.0,2.0,1.0,0.5,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.5776511024653312,2.1144092298434263,60.0,0.0,24.0,2.0,1.0,0.5,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.4635215419129084,2.470892612962128,60.0,0.0,24.0,2.0,1.0,0.5,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,1.0,2.0,2.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.6041174922028154,-3.6041174922028154,60.0,0.0,24.0,1.0,2.0,2.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.505427743129551,3.6347990628679065,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.48827012820931,3.4288218913103985,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,0.5937361084738146,0.5137628412308555,32.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.0032487594048654,-1.8468308074532085,57.0,0.0,24.0,1.0,2.0,2.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.283000836863538,5.00003520280105,38.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.802003378262337,5.7510840254999405,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
60,60,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.148246666186034,-1.2277542003163764,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,0.0,0.0
