date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-10-29,NIFTY,this_week,0,60,60,15,retrieval,373,2,0.005361930294906166,0.0,24,24,1.0,370,5760
2025-10-30,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-31,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-11-03,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,24,24,1.0,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-11-06,NIFTY,this_week,0,60,60,15,retrieval,3,2,0.6666666666666666,0.0,24,24,1.0,1,5760
2025-10-29,NIFTY,this_week,0,60,60,15,auto,359,3,0.008356545961002786,0.0,24,24,1.0,1,5760
2025-10-30,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,24,24,1.0,0,5760
2025-10-31,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,24,24,1.0,1,5760
2025-11-03,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,24,24,1.0,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,24,24,1.0,1,5760
2025-11-06,NIFTY,this_week,0,60,60,15,auto,4,3,0.75,0.0,24,24,1.0,1,5760
2025-10-29,NIFTY,this_week,0,60,60,15,hybrid,361,3,0.008310249307479225,0.0,24,24,1.0,1,5760
2025-10-30,NIFTY,this_week,0,60,60,15,hybrid,5,4,0.8,0.0,24,24,1.0,1,5760
2025-10-31,NIFTY,this_week,0,60,60,15,hybrid,5,3,0.6,0.0,24,24,1.0,1,5760
2025-11-03,NIFTY,this_week,0,60,60,15,hybrid,4,3,0.75,0.0,24,24,1.0,0,5760
2025-11-04,NIFTY,this_week,0,60,60,15,hybrid,4,3,0.75,0.0,24,24,1.0,0,5760
2025-11-06,NIFTY,this_week,0,60,60,15,hybrid,4,3,0.75,0.0,24,24,1.0,0,5760
