index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,effectiveness_score,effectiveness_score_adjusted,ann_guard_trigger_rate,score
NIFTY,this_week,0,60,60,15,retrieval,15,0.9337,0.8333,0.0,27.6,2.0,0.155613,0.0,0.0,1.0617
NIFTY,next_week,0,60,60,15,hybrid,14,1.0759,1.0,0.0,25.14,3.0,0.0,0.0,0.0,1.0508
NIFTY,this_week,0,60,120,15,retrieval,15,0.9448,0.8696,0.0,26.27,2.07,0.123236,0.131988,0.0,1.0418
NIFTY,this_week,0,60,120,15,hybrid,15,0.9783,0.8696,0.1861,27.0,3.2,-0.058535,0.0,0.0,1.0417
NIFTY,this_week,+50,60,120,15,retrieval,15,0.9449,0.8696,0.0,38.33,2.33,0.123252,0.131988,0.0,1.0299
NIFTY,this_week,+50,60,120,15,hybrid,15,0.9651,0.8696,0.1572,30.67,3.4,-0.0313,0.0,0.0,1.0289
NIFTY,this_week,0,60,60,10,retrieval,15,0.9004,0.8333,0.0,26.47,1.93,0.15006,0.0,0.0,1.024
NIFTY,this_week,+50,60,60,10,hybrid,15,0.9339,0.8333,0.1978,26.8,3.0,-0.042172,0.0,0.0,1.0232
NIFTY,this_week,+50,60,60,15,auto,15,0.9339,0.8333,0.2005,26.53,3.0,-0.044874,0.0,0.0,1.0229
NIFTY,this_week,+50,60,60,15,hybrid,15,0.9339,0.8333,0.2005,26.53,3.0,-0.044874,0.0,0.0,1.0229
NIFTY,this_week,0,60,60,10,auto,15,0.9339,0.8333,0.2394,27.2,3.0,-0.083779,0.0,0.0,1.0144
NIFTY,this_week,0,60,60,15,hybrid,15,0.9339,0.8333,0.2399,27.27,3.0,-0.084277,0.0,0.0,1.0143
NIFTY,this_week,+50,60,60,10,auto,15,0.9172,0.8333,0.1978,26.67,3.0,-0.044949,0.0,0.0,1.0039
NIFTY,this_week,+50,60,120,10,auto,15,0.9341,0.8696,0.1567,26.47,3.13,-0.034892,0.0,0.0,0.9981
NIFTY,this_week,+50,60,120,15,auto,15,0.9339,0.8696,0.1572,28.27,3.47,-0.035372,0.0,0.0,0.996
NIFTY,this_week,0,60,120,10,hybrid,15,0.9341,0.8696,0.1876,27.2,3.07,-0.065751,0.0,0.0,0.9912
NIFTY,this_week,+50,60,60,15,retrieval,15,0.867,0.8333,0.0,26.0,2.13,0.144507,0.0,0.0,0.9855
NIFTY,this_week,0,60,60,15,auto,15,0.9072,0.8333,0.2399,28.2,3.0,-0.088724,0.0,0.0,0.9822
NIFTY,this_week,+50,60,120,10,retrieval,15,0.8893,0.8696,0.0,25.8,2.0,0.115991,0.124224,0.0,0.9795
NIFTY,this_week,0,60,120,10,retrieval,15,0.8894,0.8696,0.0,27.07,2.4,0.116012,0.124224,0.0,0.9784
NIFTY,next_week,0,60,60,10,retrieval,14,1.0002,1.0,0.0,23.71,1.07,0.0,0.0,0.0,0.9765
NIFTY,next_week,0,60,120,15,auto,14,1.002,1.0,0.0,26.79,3.43,0.0,0.0,0.0,0.9753
NIFTY,this_week,0,60,120,10,auto,15,0.9174,0.8696,0.1876,28.2,3.2,-0.067928,0.0,0.0,0.9713
NIFTY,this_week,0,60,60,10,hybrid,15,0.8961,0.8333,0.2394,26.87,2.8,-0.090074,0.0,0.0,0.9707
NIFTY,next_week,+50,60,60,10,auto,14,1.0044,1.0,0.0,35.14,4.21,0.0,0.0,0.0,0.9692
NIFTY,this_week,+50,60,120,10,hybrid,15,0.9173,0.8696,0.1567,37.6,4.13,-0.037079,0.0,0.0,0.968
NIFTY,next_week,0,60,120,15,hybrid,14,1.0005,1.0,0.0,35.71,3.5,0.0,0.0,0.0,0.9648
NIFTY,next_week,+50,60,60,15,hybrid,14,0.9887,1.0,0.0,25.5,2.36,0.0,0.0,0.0,0.9632
NIFTY,this_week,0,60,120,15,auto,15,0.8896,0.8696,0.1861,27.6,3.13,-0.070107,0.0,0.0,0.9408
NIFTY,next_week,+50,60,60,15,auto,14,0.9626,1.0,0.0,26.14,2.93,0.0,0.0,0.0,0.9364
NIFTY,next_week,0,60,60,10,hybrid,14,0.9649,1.0,0.0,35.93,2.79,0.0,0.0,0.0,0.929
NIFTY,next_week,0,60,120,10,auto,14,0.9364,1.0,0.0,26.79,3.43,0.0,0.0,0.0,0.9096
NIFTY,next_week,+50,60,60,10,hybrid,14,0.947,1.0,0.0,38.43,4.07,0.0,0.0,0.0,0.9086
NIFTY,next_week,+50,60,120,15,hybrid,14,0.9293,1.0,0.0,24.43,3.0,0.0,0.0,0.0,0.9049
NIFTY,next_week,0,60,60,10,auto,14,0.9292,1.0,0.0,25.71,2.5,0.0,0.0,0.0,0.9035
NIFTY,next_week,0,60,120,10,retrieval,14,0.929,1.0,0.0,26.36,2.21,0.0,0.0,0.0,0.9026
NIFTY,next_week,0,60,120,10,hybrid,14,0.9437,1.0,0.0,42.0,5.43,0.0,0.0,0.0,0.9017
NIFTY,next_week,+50,60,60,10,retrieval,14,0.9289,1.0,0.0,30.86,2.0,0.0,0.0,0.0,0.8981
NIFTY,next_week,+50,60,120,15,auto,14,0.9114,1.0,0.0,24.07,3.0,0.0,0.0,0.0,0.8874
NIFTY,next_week,+50,60,120,10,auto,14,0.9114,1.0,0.0,24.57,3.14,0.0,0.0,0.0,0.8869
NIFTY,next_week,+50,60,120,10,hybrid,14,0.9114,1.0,0.0,25.21,3.0,0.0,0.0,0.0,0.8862
NIFTY,next_week,+50,60,120,10,retrieval,14,0.9052,1.0,0.0,23.43,2.0,0.0,0.0,0.0,0.8818
NIFTY,next_week,+50,60,120,15,retrieval,14,0.9052,1.0,0.0,23.79,2.0,0.0,0.0,0.0,0.8814
NIFTY,next_week,+50,60,60,15,retrieval,14,0.8933,1.0,0.0,25.71,1.5,0.0,0.0,0.0,0.8676
NIFTY,next_week,0,60,60,15,auto,14,0.8935,1.0,0.0,26.14,2.36,0.0,0.0,0.0,0.8674
NIFTY,next_week,0,60,120,15,retrieval,14,0.8699,1.0,0.0,26.71,2.29,0.0,0.0,0.0,0.8432
NIFTY,this_week,+50,60,60,10,retrieval,15,0.7337,0.8333,0.0,25.33,1.4,0.122285,0.0,0.0,0.8307
NIFTY,next_week,0,60,60,15,retrieval,14,0.8577,1.0,0.0,30.43,1.86,0.0,0.0,0.0,0.8272
