horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,39.75088351770288,-39.75088351770288,21.0,23.0,20.0,378.0,4.0,0.010582010582010581,2.813780770638983,1.0,11040.0,0.8695652173913043,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,33.95824470667869,-33.95824470667869,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,11.933935227506302,-11.933935227506302,60.0,0.0,24.0,4.0,3.0,0.75,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,3.8674130174059353,-3.8081603417650145,60.0,0.0,24.0,4.0,4.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,18.687797694537227,-18.687797694537227,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,28.51183156202328,-28.51183156202328,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,nan,nan,0.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,51.36683186564607,-51.36683186564607,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,20.388734704363323,-20.388734704363323,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,21.02431265726521,-21.02431265726521,32.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,11.480045582821873,-11.480045582821873,57.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,9.417172753113238,-9.417172753113238,38.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,45.453206068127194,-45.453206068127194,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,auto,1.0,l2,none,0.9,nan,1.25,1,cosine,20,1,nan,nan,14.14034292331326,-14.14034292331326,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
