date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,24,20,1,5760,0.8333333333333334,,367,3,0.008174386920980926,3.598852004557211,0,,21.0,nan,nan,37.19848215023391,-37.19848215023391
2025-10-01,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,35.63558109080937,-35.63558109080937
2025-10-03,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,13.233298149199731,-13.233298149199731
2025-10-07,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,7.700140975836636,-7.700140975836636
2025-10-08,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,18.15712993157833,-18.15712993157833
2025-10-09,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-10,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,28.928171919308916,-28.928171919308916
2025-10-24,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,0,nan,nan,nan,nan
2025-10-28,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,52.266052440173716,-52.266052440173716
2025-10-29,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,16.787936023485425,-16.787936023485425
2025-10-30,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,32.0,nan,nan,22.24380949832212,-22.24380949832212
2025-10-31,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,57.0,nan,nan,6.597792226595277,-6.597792226595277
2025-11-03,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,38.0,nan,nan,9.495800278239734,-9.495800278239734
2025-11-04,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,47.254184581102635,-47.254184581102635
2025-11-06,NIFTY,this_week,0,60,60,15,hybrid,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,24,0,5760,,,3,3,1.0,0.0,0,,60.0,nan,nan,15.17801230906653,-15.17801230906653
