index,expiry_tag,offset,horizon,window,k,mode,extended_speedup_avg,extended_prune_ratio_avg,extended_q50_mad_avg,extended_latency_ms_avg,extended_baseline_latency_ms_avg,extended_effectiveness_score,extended_effectiveness_score_adjusted,extended_ann_guard_trigger_rate,extended_score,tuned_speedup_avg,tuned_prune_ratio_avg,tuned_q50_mad_avg,tuned_latency_ms_avg,tuned_baseline_latency_ms_avg,tuned_effectiveness_score,tuned_effectiveness_score_adjusted,tuned_ann_guard_trigger_rate,tuned_score,delta_speedup_avg,delta_prune_ratio_avg,delta_q50_mad_avg,delta_latency_ms_avg,delta_baseline_latency_ms_avg,delta_effectiveness_score,delta_effectiveness_score_adjusted,delta_ann_guard_trigger_rate,delta_score
NIFTY,next_week,+50,60,120,10,auto,0.9114,1.0,0.0,24.57,3.0,0.0,0.0,0.0,0.8868,0.9114,1.0,0.0,24.57,3.14,0.0,0.0,0.0,0.8869,0.0,0.0,0.0,0.0,0.14000000000000012,0.0,0.0,0.0,9.999999999998899e-05
NIFTY,next_week,+50,60,120,10,hybrid,0.9114,1.0,0.0,24.5,3.0,0.0,0.0,0.0,0.8869,0.9114,1.0,0.0,25.21,3.0,0.0,0.0,0.0,0.8862,0.0,0.0,0.0,0.7100000000000009,0.0,0.0,0.0,0.0,-0.0007000000000000339
NIFTY,next_week,+50,60,120,10,retrieval,0.9052,1.0,0.0,23.36,2.0,0.0,0.0,0.0,0.8819,0.9052,1.0,0.0,23.43,2.0,0.0,0.0,0.0,0.8818,0.0,0.0,0.0,0.07000000000000028,0.0,0.0,0.0,0.0,-9.999999999998899e-05
NIFTY,next_week,+50,60,120,15,auto,0.9114,1.0,0.0,24.36,3.0,0.0,0.0,0.0,0.8871,0.9114,1.0,0.0,24.07,3.0,0.0,0.0,0.0,0.8874,0.0,0.0,0.0,-0.28999999999999915,0.0,0.0,0.0,0.0,0.00029999999999996696
NIFTY,next_week,+50,60,120,15,hybrid,0.9628,1.0,0.0,26.57,3.43,0.0,0.0,0.0,0.9362,0.9293,1.0,0.0,24.43,3.0,0.0,0.0,0.0,0.9049,-0.033499999999999974,0.0,0.0,-2.1400000000000006,-0.43000000000000016,0.0,0.0,0.0,-0.031299999999999994
NIFTY,next_week,+50,60,120,15,retrieval,0.9052,1.0,0.0,23.29,2.0,0.0,0.0,0.0,0.882,0.9052,1.0,0.0,23.79,2.0,0.0,0.0,0.0,0.8814,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0006000000000000449
NIFTY,next_week,+50,60,60,10,auto,0.8817,1.0,0.0,23.79,2.21,0.0,0.0,0.0,0.8579,1.0044,1.0,0.0,35.14,4.21,0.0,0.0,0.0,0.9692,0.12269999999999992,0.0,0.0,11.350000000000001,2.0,0.0,0.0,0.0,0.11129999999999995
NIFTY,next_week,+50,60,60,10,hybrid,0.8338,1.0,0.0,24.43,2.0,0.0,0.0,0.0,0.8094,0.947,1.0,0.0,38.43,4.07,0.0,0.0,0.0,0.9086,0.11319999999999997,0.0,0.0,14.0,2.0700000000000003,0.0,0.0,0.0,0.09919999999999995
NIFTY,next_week,+50,60,60,10,retrieval,0.8933,1.0,0.0,22.64,1.14,0.0,0.0,0.0,0.8707,0.9289,1.0,0.0,30.86,2.0,0.0,0.0,0.0,0.8981,0.035599999999999965,0.0,0.0,8.219999999999999,0.8600000000000001,0.0,0.0,0.0,0.02739999999999998
NIFTY,next_week,+50,60,60,15,auto,0.8934,1.0,0.0,28.5,2.29,0.0,0.0,0.0,0.8649,0.9626,1.0,0.0,26.14,2.93,0.0,0.0,0.0,0.9364,0.06920000000000004,0.0,0.0,-2.3599999999999994,0.6400000000000001,0.0,0.0,0.0,0.07150000000000001
NIFTY,next_week,+50,60,60,15,hybrid,0.8698,1.0,0.0,23.43,2.14,0.0,0.0,0.0,0.8463,0.9887,1.0,0.0,25.5,2.36,0.0,0.0,0.0,0.9632,0.1189,0.0,0.0,2.0700000000000003,0.21999999999999975,0.0,0.0,0.0,0.11689999999999989
