horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.8666666666666667,9.547115659636413,2.7064140836470503,-0.1347984721573468,60.0,24.0,24.0,354.0,2.0,0.005649717514124294,0.0,351.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.9,13.474932865298298,2.8156159461230557,-1.1038536064666908,60.0,24.0,24.0,3.0,2.0,0.6666666666666666,0.0,1.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.7833333333333333,8.513450890393097,3.3167168834142364,3.0579507229589784,60.0,24.0,24.0,3.0,2.0,0.6666666666666666,0.0,1.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.65,7.442864712162555,3.2126366446750905,1.7470671574015597,60.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.4166666666666667,4.856940821307408,3.4446129691684266,-3.4137283332165365,60.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,24.0,24.0,3.0,2.0,0.6666666666666666,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.31666666666666665,5.513369853666202,5.34997521843077,3.4763347366673623,60.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.4,9.826299194227976,5.649120600096078,2.5637981588718644,60.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.96875,2.8159551647264625,0.5870566739639038,0.519589436621132,32.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.9649122807017544,10.142719191558545,2.3798159525435367,-2.3298225434132895,57.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.21052631578947367,4.8385129511586555,5.144069123230237,4.822073694746012,38.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.4666666666666667,8.22940874707334,5.368293209139751,5.276746008482863,60.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
60,60,15,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,0.6333333333333333,7.688503973343952,3.1333085708095583,-0.9974249861155101,60.0,24.0,24.0,2.0,2.0,1.0,0.0,0.0,5760.0,1.0,0.0
